text,polarity
خوبه.,1
وقتی دوربین را بر روی این مود قرار می‌دهید،  دوربین به یک دستگاه کاملا اتوماتیک تبدیل می‌شود.,0
دوربین این تبلت میتواند در رزلوشن HD 720p فیلمبرداری کند که به کمک فوکوس ممتد،  کیفیت بسیار خوبی را ارائه میدهد.,2
اما به واقع برای تماشای ویدئو، چندان مناسب نمی‌باشد.,-1
من امروز تحويل گرفتم.,0
نخست بهتر است که به توضیحی کلی درباره‌ی سری 6 تایی دوربین های کامپکت A کانن بپردازیم.,0
من اين گوشي رو 15روزه که باهاش کار کردم ازهمه نظر گوشي عاليه من که ازش راضي هستم به خصوص باطري و  صفحه نمايشش عاليه به نظر من کسايي که عاشق گوشي هاي دوسيم کارت هستند بهترين گزينه براشون اين گوشيه,2
من از مقايسه دوربين اين گوشي با گوشي هاي ديگه متوجه شدم که تا رنج 1-1.2 ميليون تومن تنها گوشي سر تر Xperia S هستش و دوربين اين گوشي با Xperia P و Xperia Arc-Arc S و.,1
در زیر تبلت نیز همانند خود گوشی،  پورت 13 پینی MHL قرار دارد.,0
"با اينکه بدنه آلمينيومي سبب استحکام و کيفيت بالاي ساخت اون تو اين تبلت و حتي ساير تبلت ها ميشه ولي اگر بدنه پلاستيکي داشت بسيار زيباتر و همچنين دلنشين تر ميشد
وقتي آمدم يه تبلت آلمينيومي دستش ميگيره به معناي واقعي از چيزي که دستشه تنفر پيدا ميکنه هر چند که از باب سخت افزار يا نرم افزار بسيار بالا باشه",-1
به دلیل همین صفحه کلید QWERTY،  گوشی کاملا ضخیم ساخته شده است؛ هرچند نه به ضخامت گوشی چون LG Optimus 3D.,0
به جز این قابلیت‌ها،  سامسونگ تغییر خاص دیگری در رابط کاربری تاچ ویز نداده است و نسبت به نسخه‌های گذشته تغییر خاص دیگری نداشته است.,0
در عين حال،  پل جنوبي در اين کنسول،  با پهناي باند يک گيگابايت در ثانيه با پردازنده‌ي گرافيکي در ارتباط مي‌باشد که اين عامل ارتباط سريع بين دسته‌هاي بازي و ساير قطعات جانبي را با پردازنده‌ي مرکزي ميسر مي‌سازد.,1
الآن هم nexus اومده اما يه سري ويژگي هاي note از nexus بهتره مثل داشتن نرم افزار snote و photoshop touch- دوربين5  hd-صفحه ي نمايش بزرگتر-سيم کارت خوردن که قابليت تماس و gprs رو به اون ميده و .,1
من خودم يه دونه دارم خيلي خوب هستش و کيفيت بازي هاش هم خيلي خوبه ولي الان خيلي به‌صرفه نيست خريدنش,1
سنسور با رزولوشن بالا،  توانایی فیلم برداری 720p HD و طراحی و ساخت زیبا و باریک نیز جزو ویژگی همه‌ی دوربین های سری A امسال محسوب می‌گردند.,1
سرعت فکس این دستگاه در حالت رنگی در حدود یک دقیقه برای هر صفحه و برای حالت سیاه و سفید در حدود 3 ثانیه می‌باشد.,0
این دوربین دارای یک فن‌آوری به نام Geo-Tagging است،  به طوری که در هر کجا که باشید دوربین به کمک GPS موقعیت مکانی دقیق شما را به همراه عکس ثبت می‌کند تا همانند زمان بدانید این عکس دقیقا در کجا گرفته شده است.,1
به نظر من  ارزش خريد نداره ، من چند روزه خريدمش گوشي قبليم گالاکسي اس3 بود واقعاً پشيمونم 1:فاقد دوربين جلو 2:فاقد فلش 3:عملکرد ضعيف سي پي يو 4:صفحه نمايش ضعيف,-2
البته مسلما همین امکانات باعث شده که شاهد قیمت بالای این تبلت باشیم،  چرا که تبلت هایی مانند Apple iPad 3 و یا Asus TF700 با رزولوشن تصویر بسیار بهتر قیمتی مشابه همین تبلت را دارند.,0
• باتری سامسونگ با قرار دادن یک باتری 7000 میلی آمپری بر روی تبلت جدید خود،  خیال کاربران را از جهت شارژ دهی آن تا حدودی راحت نموده است.,1
من اين گوشي رو از ديجي کالا سفارش دادم که جدا ميشه گفت رضايت مشتري هدف اصلي تيم ديجي کالا هستش.,0
هنگامی که داک کیبورد را به دستگاه متصل کردیم،  این میزان به بیش از 13 ساعت افزایش یافت و باعث گردید که بتوانیم با اطمینان بگوییم عملکرد باتری‌های این دستگاه نیز بسیار خوب ارزیابی می‌گردد.,1
من الان نوت1دارم و از فتوشاپش لذت ميبرم و ميتونم بگم بهترين فتوشاپ هاي دنيا روي نوت1 و 2 ريخته شده و بي رقيبه نوت ها يه قلم به نام spen دارن که کار باهاش مثله رويا ميمونه و هرکي داره واقعا يه نعمته و قدرشو بدونه و حتما بايد باهاش کار کرده باشين تا اون حس رو کنين از لحاظ قيافه که ميدونين ايفون رقيب نداره.,1
این طراحی دو ایراد را برای دوربین به وجود می‌آورد.,-1
سلام!,0
ایسوس اعلام کرده است که در ساخت این تبلت از شیوه خاصی از قالب گیری آلومینیوم استفاده کرده است که تنها در صنایع هوایی و ساخت اتومبیل‌های مسابقه ای استفاده می‌شود و در آن یک تکه آلومینیوم جامد انتخاب شده و سپس به شکل مورد نظر کمپرس می‌شود.,0
"و شايد يک پردازنده 4 هسته اي  براي گوشي هوشمندي بانام i phone5,مناسب تر بود.",-1
سلام و با تشکر از پرسنل ديجي کالا بعد از کار 1هفته با اين گوشي درکل مي توان معايبش اينگونه گفت: 1- برنامه ها کپي نميشه روي SD يا نميشه روي SD نصبشون کرد 2- حافظه 4گيگ 2گيگ بيشتر نميمونه واستون 3-دکمه هاي پايين نور نداره تو شب اذيت ميشي  4- باتريش زود خالي ميشه نسبتا  مزايا: -1 يک دوسيمکارت خوب که کلي شبکه مخابراتي ساپورت ميکنه 2- اندرويد جديد -3 سي پي يو خوب ولي عالي نيست -4 خوش دست و خوش ساخت درکل ميتونم بگم شاهکاريه واسه ال جي واقعا من که خوشحالم انتخابش کردم و اصلا پشيمون نيستم,1
همچنین مجهز به توانایی فیلم برداری 1080p Full HD هم می‌باشد.,0
سطح تاچ پد کمی دانه دانه است و به راحتی می‌توان بدون نگاه کردن،  آن را در بین استراحتگاه دست پیدا کرد.,1
Miro در حقیقت فضای خالی بین Xperia Tipo و مدل گران قیمت‌تر یعنی Xperia Go را پر می‌کند.,0
من به تازگي اين دوربين راخريده ام کيفيت تصويرش محشره واقعا سوپرزوم است کار کردن با اين دوربين خيلي راحته ميتوان جزئيات خيلي کوچک صحنه را درعکسي که گرفته ايد ببينيد من که خيلي از خريد اين دوربين راضي ام,2
البته هنوز تو بازارهاي جهاني به صورت عمده عرضه نشده.,0
حساسیت سنسور نیز از 100 تا 1600 می‌باشد.,0
خيلي هم ازش راضي هستم.,2
قيمش 2 برابر one x + هستش  ولي مشخصاتش زياد فرق نداره با اون.,-1
هنوز تا اين تاريخ روت نشده!,0
سلام دوستان اين بهترين تبلت توي اين رنج قيمت هست و با امکانات عاليش مثل:پردازنده 4هسته با فرکانس 1.4 و رم 2 گيگ و صفحه نمايش فول اچ دي و دوربين قدرتمند با سنسور 8 مگا و قابليت فيلم برداري فول اچ دي با 30 فريم بر ثانيه واقعا ارزش خريد بسيار بالايي داره من که به زودي مي خرمش,2
با سلام من خيلي وقته اين گوشي رو دارم و کاملا راضي هستم مشکلش باطريشم با پاور سيوي که با اپديته اوليه ميادش فوق العاده هستش البته بزاريد از 30% کمتر شد شارژتون استفاده کنيد.,2
سلام گوشي خيلي خيلي خوبيه.,2
هم نمایشگر ابعاد بزرگ و خوبی دارد و هم اینکه رزولوشن آن فوق العاده است.,0
اما در این میان،  دوربین‌های کامپکتی نیز وجود دارند که با هدف سالم ماندن و عکاسی کردن در شرایط سخت ساخته شده‌اند.,0
• باتریباتری استفاده شده در Neo L یک باتری لیتیوم یونی 1500 آمپریست که برای بیش از 7 ساعت مکالمه ممتد انرژی ذخیره می‌سازد.,1
لپ تاپ خيلي خوبيه ايراد خاصي ندارد .,1
سلام 1-  new ipad هم يه تغيير کوچولو هم انجام نداده 2- اونايي که ميگن s-pen کاربردي نيست اين رو بدونن خيلي کار جالبي انجام داده مخصوصا حساسيت 1024 درجش 3- استفاده کامل ار هسته هاي cpu توي ورژن 4 اندرويد کاملا برطرف شده و اين به اين معني است که استفاده کامل از cpu ميشه 4- اندرويد تو ايران خيلي خيلي بهتر از ios است  بخاطر وجود سيستم عامل open source لينوکس(ار لحاظ ساخت نرم افزار فارسي که جديدا خيلي زياد شده و رشد بسيار بالايي رو داره) 5- من صفحه نمايش اين تبلت رو ديدم عالي است (پيشنهاد ميکنم از نزديک ببينيدش) 6- وايد بودن صفحه نمايشش برتري خيلي خاصي نسبت به new ipad داره 7- ضمنا دو گيگ رم تغيير بسيار زيادي بر روي عملکرد تبلت ميذاره  ********    پيشنهاد ميکنم اگه ميخوايد قدرت اين تبلت رو ببينيد حتما حالت مولتي تسکينگ که هم زمان با دو برنامه کار ميکنيد رو ببينيد ****** حتما به قسمت ويديوهاي تبلت سر بزنيد و ببينيد موقعي که وارد ويديو ميشيد تمام ويديوها هم زمان در حال پخش هستند,2
سيپيو و رم هم که واقعا ضعبفه.,-2
خدا کنه خيلي گرون نباشه,0
توصيه ميکنم دوربين با باطري قلمي نخريد.,0
حتی اثر لرزش‌گیری تصویر را می‌توان در چشمی هم مشاهده کرد.,0
اکنون در قسمت پشتی دکمه ی Record به جایی منتقل شده که به راحتی در زیر انگشت شست قرار می گیرد.,1
دوربین اصلی Nexus 4 دارای یک سنسور 8 مگاپیکسلی است که عکس‌های فوق‌العاده با کیفیت‌تری نسبت به Galaxy Nexus ثبت می‌نماید.,2
و واقعا هم بهترين هست تو اين رنج قيمت.,2
انتظار بيشتري از اپل ميرفت,-1
در کل به نظر می رسد که SX160 IS تا حدی از مدل پیشینش خوش تیپ تر می باشد.,1
دفتر تلفن اکسپريا ري بسيار خوب و با کيفيت است و براي پيداکردن مخاطب راهکار ساده و سريع دارد.,2
گوشي HTC J ديگه همه رو حيرت زده کرد.,1
در کل من  به عنوان يه عکاس آماتور کاملا از اين دوربين راضيم.,2
چیز زیادی درباره‌ی طراحی این دوربین وجود ندارد.,0
جواب این سوال منفیست.,0
اچ تي سي هم بدون دوربين دوم توليد کرده يعني ضعف از اين هم گرونتره.,-1
هر چند گوشي نسبتا خوبي است اما از نظر کيفيت ساخت و زيبايي و ارزش خريد نميتونه به LG Optimus 4X HD P880 برسه.,-1
ظاهر گوشي هم بسيار زيباست.,2
"تجربه نشان مي دهد وقتي يک گوشي با برند نوکيا مي خري آنقدر با کيفيت است که مي ماند تا ازش خسته بشي
من دو سال ان 8 داشتم که ديگر خودم ازش خسته شدم و به قيمتي که خريده بودم فروختم ",0
بطوريکه حتي با حداکثر زوم ،  عکس شايد خيلي شفاف نباشد اما رنگها سر جاي خودشان هستند و در حاشيه ها پراکندگي ندارند .,0
بهترين گوشي حال حاضر دنياست.,2
ابعاد و وزن این گوشی تقریبا شبیه به Go است و در کل گوشی سبکی نیز محسوب می‌شود.,1
البته با این لنزها دیگر فوکوس خودکار امکان‌پذیر نمی‌باشد.,-1
این دوربین فلاش Pgr-up هم دارد که بردی برابر 5.3 متر را ارائه می‌دهد.,0
همانطور که گفتیم انرژی این دوربین از طریق دو باتری قلمی تامین می شود که اگر نوع استاندارد آلکالاینی را تهیه کنید تا حدود 120 عکس شارژدهی خواهد کرد.,0
باتريش در حد متوسطه و با توجه به گوشي نميشه گفت سوني از يک باتري قدرتمند استفاده کرده.,-1
دقت صفحه نمایش با توجه به مدل مربوطه متفاوت است ولی همه مدل‌ها از رزولوشن استاندارد و بالایی استفاده می‌کنند.,1
پشتيباني دولوپري ضعيف در مقايسه با سامسونگ و به دليل s-off بودن گوشي و قرار گرفتن CID گوشي براي مناطق خاص ( از جمله ديدگاههاي شرکت اين هست که براي هر منطقه يک cid تعريف کرده ک زمان آپديت شدن رام گوشيتون رو بسته به منطقتون تغيير ميده يعني ابتدا رام براي تايوان - اروپا - اپراتورهاي خاص - چين - خاورميانه ريليز ميشه و همين امر باعث ميشه که حدود چندماهي زمان ببره ارائه ي آپديتها براي هر منطقه  با تشکر.,-1
پردازنده Snapdragon به کار رفته در این گوشی  دارای قدرت پردازشی یک گیگاهرتز است و 512 مگابایت حافظه RAM نیز برای آن در نظر گرفته شده است.,0
ولي از همه مهمتر اينه که بيشتر از اين نمي‌ارزه,-1
بيشتر تو ديد از کنار..,0
به روز رسانی: در تست‌هایی که انجام دادیم،  کیفیت عکس‌های گرفته شده توسط DV300F در سطح خوبی است.,1
هرچند که خیلی آن را دوست داشتیم.,1
به واقع در ابتدا انتظار چنین تبلتی را از فوجیتسو نداشتیم و فکر می‌کردیم که با یک تبلت کاملا متوسط طرف هستیم،  اما منصفانه با یکی از برترین تبلت های 10 اینچی موجود در بازار آشنا شدیم.,1
من يه مدت اين گوشي رو داشتم.,0
رابط کاربری Timescape نیز بر روی این گوشی قرار دارد که همان رابط کاربری استاندارد اندروید است که تحت تغییراتی قرار گرفته و به این شکل تغییر داده شده است.,1
از نظر رنگ و شفافيت تصوير من مقايسه کردم .,0
خود من روزانه 200 پيامک ارسال ميکنم و موقع خريد همش اين تو ذهنم بود و دلم رو ميزد ولي وقتي دستم گرفتم ديدم بازخورد دکمه هاش واقعا خوب و راحته صداي آنچناني هم نداره و اصلا روي اعصاب نيست.,2
همچنین یک پردازشگر گرافیکی Adreno 225 به همراه یک گیگابایت حافظه‌ی رم باعث می‌گردند که این گوشی جزو قوی‌ترین گوشی‌ها قرار گیرد.,1
واقعا asus پيش روي صنعت کالاهاي ديجيتالي هست.,0
خود درب هم از دو قسمت تشکیل شده که یکی قسمت بالا روشن تر است و دیگری پنل پایینی که خاکستری می باشد.,0
از نظر کیفیت عکس‌های گرفته شده،  دوربین این گوشی یکی از بهترین دوربین‌هایی است که بر روی گوشی‌های تلفن همراه مشاهده کرده‌ایم.,1
پس از درخواست هاي بسيار کاربران آندرويد براي چشيدن طعم سيم کارت بر روي تبلتشان ،  بالاخره گوگل امکان استفاده از سيم کارت را همراه با فضاي ذخيره بشتر (32GB) درون سوگلي محصولاتش فراهم کرد.,0
در ضمن M در رده ی بدون آینه با لنز قابل تعویض شیبه به SLR ها نبود و از نوع Range Finder است.,0
در ضمن خيلي خيلي خوشگل و خوش دسته و خيلي سبک.,2
پورت HDMI .,0
همانطور که گفتیم،  HX50v کاملاً گوی سبقت را از رقبا ربوده و تبدیل به یکه‌تاز مطلق کامپکت های سوپرزوم شده است.,2
با اینکه قدرت این گوشی به اندازه برادران بزرگ‌تر خود یعنی لومیا 920 و 820 نیست،  اما به راحتی از پس اجرای اکثر دستورات بر می‌آید.,1
264 می‌باشد.,0
حسگر شناسايي انگشت روي اين بخش نسبتاً مناسب عمل مي‌کند اما در مواردي،  مجبور بوديم بيش از يک بار آن‌ها را لمس کنيم.,-1
اما بزرگ‌ترین تغییرات ایجاد شده در نسخه 4.2 اندروید را می‌توان مربوط به برنامه دوربین دانست.,0
با داشتن ضخامتی معادل 8.5 میلی‌متر،  Infinity نزدیک به یک میلی‌متر باریک‌تر از آی پد نسل سوم است.,0
در بالای گوشی نیز کلید پاور و جک هدفون 3.3 میلی‌متری قرار دارند.,0
تا حالا تستش نکردم.,0
ضمنا قابلیت اجرای همزمان دو برنامه در این تبلت به بهترین شکل به اجرا در آمده است.,2
همه این‌ها باعث شده که این گوشی در عین زیبایی، به یک گوشی بسیار خوش دست و راحت نیز تبدیل گردد که کار کردن با آن حتی برای افرادی که دست‌های کوچکی نیز دارند بسیار راحت خواهد بود.,2
در شرایط نوری خوب،  ویدیوها کاملا طبیعی به نظر می‌رسند و هیچ گونه غلظت اضافی رنگ وجود ندارد.,0
البته احتمالا در بازار محصولاتی از برندهای دیگر را شاهد خواهید بود که مدت زمان بیشتری را شارژ بدهند.,1
اما تفاوت اصلی این دوربین با مدل‌های معمولی،  در نمایشگر دوم 1.5 اینچی آن است.,0
در کنار چنان سخت افزار قدرتمندی،  سیستم عامل کاملا حرفه‌ای و جذاب Android 4.1 با واسط کاربری TouchWiz 5.0 قرار دارد.,2
اما اگر به صورت کلی یک گوشی می‌خواهید که در همه زمینه‌ها شما را راضی نگاه دارد و همواره از کار کردن با آن لذت ببرید،  آیفون 5 هیچ کمبودی که بخواهد شما را از خرید آن پشیمان نماید ندارد و می‌تواند به یک انتخاب خوب برای شما تبدیل گردد.,1
عمق رنگ مشکلی تولید شده توسط این صفحه نمایش به حدی زیاد است که اگر از عکس پس زمینه مشکی استفاده کنید،  تشخیص دادن لبه صفحه نمایش،  از قاب دور آن کمی سخت است.,-1
با نگاهي موشکافانه به اين مدل مي توان شاخصه هاي آن را بدين گونه بر شمرد.,0
نميدونم چرا باتريش جزو نقاط ضعفش اومده.,0
پسر من يکي داره و خيلي عالي کار ميکنه   از لحاظ کيفيت عالي,2
بسیار خوب،  پس فهمیدیم که نسخه ی Black با فاصله ی خیلی زیاد بهترین است.,2
سيپيوشم اصلا کم نمياره اونم با بازيهايي مثل modrn combat4 و..,1
به همین دلیل هم هست که ایزو تا 25600 افزایش یافته است.,1
متاسفانه بر خلاف مدل پیشین،  PadFone 2 دارای کیبورد جداگانه نبوده و نمی‌توان از آن به عنوان یک نت بوک استفاده کرد و این موضوع ممکن است باعث شود که تعدادی از دارندگان مدل پیشین،  تمایل خود را برای ارتقا به PadFone 2 از دست بدهند.,0
البته از محسنات اين دوربين سوني ميشه به لنز وايدتر،  ارگونومي و شکل زيباتر،  فيلمبرداري کماکان عالي ،  نمايشگر باکيفيت ، عکس هاي شارپ و کيفيت ساخت بالاي سوني اشاره کرد.,2
از سوی دیگر سرعت اسکن  در این دستگاه برای هر صفحه در حدود 15 ثانیه می‌باشد و ویژگی بارز دیگر اسکنر این دستگاه،  امکان اسکن خودکار دو رو است.,0
براي ديجي کالا پسش فرستادم اونا هم بررسي کردن و يا يک دوربين سالم تعويضش کردن و برام فرستادن.,1
البته در نظر داشته باشید که این موضوع به ایسوس کمک می‌کند که خیلی سریع‌تر از کمپانی‌های دیگر محصولات خود را آپدیت نرم افزاری کند.,1
نوت بوک من پيش اين کم مياره!,1
این دوربین می تواند تا حد زیادی مناسب عکاسان نجومی هم باشد چرا که بستن یک دوربین کوچکتر و سبک تر به تلسکوپ می تواند مشکلات کمتری را در بالانس ایجاد کند و در کل ست آپ سبک و کوچکتری را برای شما به ارمغان آورد.,1
این دستگاه‌ها با گرد هم آوردن چند دستگاه به صورت یک جا،  هم فضای کمتری می‌گیرد و هم هزینه کمتری به خریداران خود تحمیل می‌کند.,1
هرچند که باید منتظر آمدن آن به بازار و تست واقعی عکس های آن باشیم.,0
در عوض بي نهايت زيباست کيفيت دوربينش هم خوبه,2
البته اين مشکلات احتمالا به زودي حل ميشه!,0
همچنين سيستم تهويه مطبوع و ماشين لباسشويي.,0
عکس هاي فوق العاده اي ميگيره.,2
سامسونگ کلا عادت دارد که چنین چیزهایی را بر روی دوربین خود قرار دهد.,0
50 برابر زوم اپتيکال براي اشخاصي که زوم اپتيکال برايشان مهم است واقعا عاليه .,2
این گوشی حتی نسبت به لومیا 820 نیز لبه های گرد تری دارد که به نظر می‌رسد ظاهر آن‌را جوانانه تر نماید.,1
"يکي از مشکلات بزرگ باتريشه , چون بعد از 300 يا 400 بار شارژ يعني حدودا 2 سال استفاده به شدت ضعيف مي شه و قابل استفاده نيست و عوض کردن باتريش هم با توجه به وسايل خاصي که فقط نمايندگي هاي مجاز اپل در کشورهاي مختلف دارن امکان پذيره در صورتي که در ايران اين کار با پيچ گوشتي و ..",-1
در کناره ی دوربین نیز می توان پورت هایی چون USB،  micro HDMi،  جک 3.5 میلی متری میکروفون،  آداپتور A/V و البته شیار کارت حافظه ی micro SD را مشاهده کرد.,0
این گوشی حتی نسبت به لومیا 820 نیز لبه های گرد تری دارد که به نظر می‌رسد ظاهر آنرا جوانانه تر نماید.,0
اولين چيزي که تو نگاه اول بيشتر تو چشم مياد عدم  وجود درايو هاي سازگار با ويندوز 7 توي کارتن دستگاه و حتي تو کل نت ( با وجود ارائه تو سايت سازنده ولي حداقل رو سيستم من نصب نشد به دلايل کاملاً نا معلوم!,-1
Apple iPhone 5 يه گوشي هوشمند !,0
البته امکانات عجيب آيفون هم قابل تحسينه,2
همان‌طور که انتظار داشتیم،  مرورگری اینترنت با GALAXY Tab 2 10.1 بسیار لذت بخش است.,2
متون بسیار دقیق و شارپ بوده و مرورگری اینترنت بسیار لذت بخش است.,2
اگر اين سخت افزار بر روي آيپد بود بي شک تمامي شما از آن به عنوان تحولي در صنعت تبلت ياد مي کرديد و آن را فوق تصور مي دانستيد.,0
همونطور که مي دونين اپل پردازنده 2 هسته اي داره که با وجود ios باعث قدرت بسيار زياد اون در اجراي هر برنامه و با هر شرايطي مي شه ولي ايسوس TF700T داراي يه پردازنده تک هسته اي معمولي به علاوه يه پردازنده بسيار قدرتمند 4 هسته ايه.,1
و اين که دوستاني که ميخوان بگيرن اين گوشي رو شک نکنيد بهترين انتخاب رو کرديد .,2
از نظر کيفيت قطعات از بهترين چيپ ستها براي اين تبلت استفاده شده.,2
و خسته نباشيد .,0
با درود.,0
"من بين Nikon Coolpix L870 و اين گير افتادم اما دارم پولامو جمع و جور ميکنم که اين رو بخرم فکر ميکنم گزينه بهتريه 
",1
شايد مصرفش خيلي پايينه!,1
مدل قبلی با مشخصات سخت افزاری پایین‌تر از این مدل،  همواره در Benchmark ها جزو گوشی‌های قدرتمند قرار داشت.,0
چون عمده ي باتري رو صفحه مصرف ميکنه.,0
با سلام من اين گوشي رو 2 روزه خريدم از مزاياي گوشي  1- کيفيت صداي عالي  2- خوش دست و با ساختار عالي  3- آندوريد 4 و سرعت بالاي آن 4- تاچ نسبتاً خوب 5- نگه داشتن شارژ نسبت به مدلهاي ديگر اچ تي سي اگه صفحه نمايش بهتري داشت ديگه حرف نداشت ولي با داشتن cpu 600 ديگر نبايد انتظار بازي هاي سنگين و داشت,1
شما می‌توانید برای هر تماس انتخاب کنید که از کدام سیم کارت استفاده کنید.,0
اما با این وجود R30 اصولا دوربین کوچکتری نسبت به M52 است.,1
من که راضي ام ولي تنها عيبش به نظر من اينه که شارژ گوشي دوام زيادي نداره ،  حداکثر دو روز براتون کار ميکنه و اغلب يه روز کامل که استفاده کردي تمام ميشه و بايد دوباره شارژ بشه اگه دوست نداريد و نميتونيد مدام هرشب گوشي تون رو شارژ کنيد اين گوشي مناسب شما نيست در غير اين صورت عاليه,1
در سمت چپ گوشی شکاف کارت حافظه،  در قسمت بالا خروجی 3.5 میلی متری هدفون به همراه درگاه USB و بالاخره در قسمت پشتی آن دوربین 3.2 مگا پیکسلی به همراه بلندگو قرار گرفته‌اند.,0
البته در مقایسه با iPad 3 چندان شانسی برای برتری دوربین Note 8 وجود ندارد اما در کل عملکرد دوربین بسیار خوب توصیف می‌شود.,1
اگر خواستید می توانید نوع قابل شارژ را خریداری کنید تا هر بار پس از تمام شدن یک جفت مجبور به خریدن یک جفت دیگر نباشید.,0
واقعا ازش راضي ام بي نظيره امکانات عالي داره  عيبش بالا اومدن فلاشه که عادت ميکنيد از هر لحاظ عاليه.,2
از نظر فیلم برداری نیز عملکردی مشابه را از این دو شاهد هستیم به طوری که به خوبی از پس فیلم برداری Full HD بر می آیند.,1
يکي از بهترين صفحه نمايش هايي که از نظر غلظت رنگ و رزولوشن داره.,1
در آینده و با به بازار آمدن این دوربین سعی می‌کنیم آپدیت هایی را بر روی این نقد و بررسی اعمال کنیم.,0
"من الان يه ماهي دارمش ازش خيلي راضيم عاليه 
فقط اگه يه مقدار دوربينش عالي بود بهتر مي شد 
",2
در نهایت، طبق نتایج به دست آمده، صحت ادعای کمپانی اپل اثبات گردید و مشخص شد که آیفون 5 از نظر سخت افزاری در کل تا دو برابر قوی‌تر از آیفون 4S عمل می‌نماید و بدین ترتیب مجددا گوشی تولیدی کمپانی اپل در صدر قدرتمندترین گوشی‌های بازار از نظر عملکرد سخت افزار می‌ایستد.,2
بدین ترتیب که اگر در حال تایپ کردن در یک وسیله‌ی نقلیه باشید،  ممکن است در اثر تکان‌ها،  قسمت پایین کف دست شما مرتبا به تاچ پد برخورد کند و عمل کلیک انجام شود.,0
( موبايل - تبلت - نوت بوک) کالايي معرفي مي کنه که متناسب با سطح برنامه ها و کارکرد بهتر باشه،  نه اينکه فقط جنبه سخت افزاري رو بالا ببره.,1
